"date","weighted","close","high","low","open","volume"
"2019-04-22 17:04:00","173.821913","170.66","177.55","169.21","171.9","91652098.56"
"2019-04-23 17:04:00","165.883171","166.05","171.23","160.82","170.66","96610106.76"
"2019-04-24 17:04:00","158.177511","152.99","166.66","148.72","166.05","109013577.51"
"2019-04-25 17:04:00","154.065284","156.45","158.41","149.6","152.99","90745549.47"
"2019-04-26 17:04:00","157.906751","158.36","161.35","155.14","156.45","40750421.97"
"2019-04-27 17:04:00","159.122057","158.05","160.85","156.99","158.72","40637073.13"
"2019-04-28 17:04:00","156.005771","156.69","159.03","152.36","158.05","59257093.09"
"2019-04-29 17:04:00","160.550475","164.39","165.32","156.69","156.69","69939060.65"
"2019-04-30 17:04:00","162.594526","161.42","166.79","159.99","164.39","43276053.39"
"2019-05-01 17:05:00","160.796117","161.29","162.9","158.42","161.42","31903176.55"
"2019-05-02 17:05:00","167.550671","168.24","173.32","160.27","161.29","84230176.89"
"2019-05-03 17:05:00","164.540359","163.61","171.68","159.93","168.24","59532209.07"
"2019-05-04 17:05:00","163.351291","163.94","165.38","159.19","163.61","35290275.73"
"2019-05-05 17:05:00","170.123987","173.7","178.86","160.66","163.94","101692000.86"
"2019-05-06 17:05:00","176.211834","168.59","183.38","168.01","173.7","127619495.09"
"2019-05-07 17:05:00","169.158553","171.42","173.77","164.7","168.59","79549805.45"
"2019-05-08 17:05:00","170.313263","170.86","174.42","166.54","171.42","61635698.75"
"2019-05-09 17:05:00","173.150651","172.5","176.44","168.41","170.86","99171682.07"
"2019-05-10 17:05:00","190.407917","192.44","205.88","172.47","172.5","281574838.84"
"2019-05-11 17:05:00","191.769165","188.14","203.14","183.07","192.44","213018304.42"
"2019-05-12 17:05:00","197.475979","195.83","207.89","185.79","188.14","218034544.15"
"2019-05-13 17:05:00","208.243647","217.16","220.42","194.97","195.83","289869112.82"
"2019-05-14 17:05:00","233.778285","248.64","250.1","217","217.16","355724872.42"
"2019-05-15 17:05:00","261.546293","264.47","279.8","242.46","248.64","634263776.42"
"2019-05-16 17:05:00","238.969919","244.84","268.89","224.7","264.47","410267280.66"
"2019-05-17 17:05:00","239.297945","233.96","248.71","231.3","244.84","117017034.79"
"2019-05-18 17:05:00","253.330856","260.9","264.49","232.45","233.96","207318106.93"
"2019-05-19 17:05:00","249.510847","252.1","260.91","239.27","260.9","195772403.2"
"2019-05-20 17:05:00","254.966866","254.94","263.96","247.78","252.1","162940479.24"
"2019-05-21 17:05:00","251.281518","243.46","261.19","240.48","254.94","170156807.78"
"2019-05-22 17:05:00","240.190597","245.6","248.32","231.15","243.46","131011466.39"
"2019-05-23 17:05:00","250.731282","249.61","255.8","242.58","245.6","112150086.57"
"2019-05-24 17:05:00","252.712778","251.49","258.44","248.34","249.61","71773413.55"
"2019-05-25 17:05:00","260.287157","268.26","271.76","245.97","251.49","132735299.32"
"2019-05-26 17:05:00","269.704918","271.83","279.68","264.23","268.26","166060230.54"
"2019-05-27 17:05:00","270.690423","271.45","276.45","265.3","271.83","106686177"
"2019-05-28 17:05:00","268.877312","269.6","274.28","260.73","271.45","115671371.68"
"2019-05-29 17:05:00","268.857564","254.45","288.78","239.64","269.6","345611935.55"
"2019-05-30 17:05:00","257.096788","267.42","268.41","245.26","254.45","166925470.64"
"2019-05-31 17:05:00","267.986117","264.71","275.1","261.01","267.42","96150090.36"
"2019-06-01 17:06:00","268.918049","269.31","273.91","263.88","264.71","60735168.36"
"2019-06-02 17:06:00","259.092041","249.61","270.02","246.94","269.31","133402509.49"
"2019-06-03 17:06:00","243.174005","241.1","251.12","233.87","249.61","187422191.16"
"2019-06-04 17:06:00","243.832298","246.16","249.12","237.77","241.1","95758702.56"
"2019-06-05 17:06:00","242.957847","249.43","251.22","235.8","246.16","83309679.57"
"2019-06-06 17:06:00","248.942733","249.54","254.15","245.05","249.43","100849718.34"
"2019-06-07 17:06:00","246.150805","244.4","250.95","241.84","249.54","42936623.98"
"2019-06-08 17:06:00","235.040567","231.43","245.02","226.62","244.4","92186381.84"
"2019-06-09 17:06:00","240.797341","247.96","248.12","227.66","231.43","99263687.87"
"2019-06-10 17:06:00","243.32816","245.16","248.9","237.63","247.96","86117977.19"
"2019-06-11 17:06:00","253.177082","263.05","263.45","243.13","245.16","138979721.37"
"2019-06-12 17:06:00","259.177699","255.09","264.53","254.11","263.05","101025129.47"
"2019-06-13 17:06:00","257.040423","263.76","265.87","251.73","255.09","130872372.87"
"2019-06-14 17:06:00","267.028938","269.22","273.38","261.81","263.76","87626432.41"
"2019-06-15 17:06:00","271.292472","268.53","278.95","263.71","269.22","128975724.02"
"2019-06-16 17:06:00","272.090959","273.92","275.65","267.69","268.53","88041706.94"
"2019-06-17 17:06:00","266.637005","264.51","274.21","261.19","273.92","105393246.23"
"2019-06-18 17:06:00","267.320587","269.01","270.21","263.66","264.51","66155758.38"
"2019-06-19 17:06:00","270.195536","272.21","274.63","266.67","269.01","67597297.6"
"2019-06-20 17:06:00","286.867674","296.03","297.14","272.21","272.21","217255509.5"
"2019-06-21 17:06:00","306.067229","309.41","315.27","293.63","296.03","259002380.63"
"2019-06-22 17:06:00","311.860834","307.37","319.33","305.23","309.41","161524339.87"
"2019-06-23 17:06:00","305.304409","311.22","313.68","294.21","307.37","182088474.01"
"2019-06-24 17:06:00","311.649977","316.53","317.09","306.13","311.22","132653803.36"
"2019-06-25 17:06:00","336.963285","333.76","363.41","314.13","316.53","535053301.28"
"2019-06-26 17:06:00","305.234939","294.07","342.41","275.01","333.76","442978514.77"
"2019-06-27 17:06:00","302.50589","309.37","312.4","290.45","294.07","190174118.06"
"2019-06-28 17:06:00","305.577976","317.32","324.03","291.72","309.37","154657148.32"
"2019-06-29 17:06:00","303.182402","290.15","323.54","287.02","317.32","153703715.56"
"2019-06-30 17:06:00","288.673803","294.17","301.7","278.07","290.15","157687256.59"
"2019-07-01 17:07:00","282.666671","291.61","296.64","271.8","294.17","170557510.75"
"2019-07-02 17:07:00","295.621687","302.17","303.2","289.83","291.61","116829498.53"
"2019-07-03 17:07:00","293.668074","283.1","303.73","280.38","302.17","88210847.29"
"2019-07-04 17:07:00","288.283837","287.9","294.99","280.58","283.1","86503240.9"
"2019-07-05 17:07:00","292.396994","287.98","298.01","285.56","287.9","57932347.39"
"2019-07-06 17:07:00","300.658197","306.43","310.72","284.46","287.98","99666457.6"
"2019-07-07 17:07:00","308.733167","313.34","314.94","302.56","306.43","115496166.88"
"2019-07-08 17:07:00","311.168946","307.89","318.32","303.09","313.34","125850428.68"
"2019-07-09 17:07:00","296.380031","288.64","314.74","281.62","307.89","180940011.77"
"2019-07-10 17:07:00","271.796788","268.56","288.66","263","288.64","171079615.45"
"2019-07-11 17:07:00","273.672757","275.41","279.06","266.46","268.56","76685542.26"
"2019-07-12 17:07:00","268.224523","268.94","275.72","261.81","275.41","66861426.61"
"2019-07-13 17:07:00","240.517422","226.16","269.59","223.07","268.94","175331440.46"
"2019-07-14 17:07:00","223.237818","228.14","235.48","203.63","226.16","226218116.46"
"2019-07-15 17:07:00","208.700712","198.71","234.28","191.03","228.14","232180403.8"
"2019-07-16 17:07:00","205.540454","211.29","219.84","192.48","198.71","162154895.01"
"2019-07-17 17:07:00","218.534618","226.09","229.65","206.32","211.29","142904884.96"
"2019-07-18 17:07:00","219.904063","221.28","226.51","214.01","226.09","82409808.32"
"2019-07-19 17:07:00","228.916221","228.71","235.69","220.33","221.28","74318209.77"
"2019-07-20 17:07:00","223.399466","225.4","229.69","217.43","228.71","59548497.11"
"2019-07-21 17:07:00","218.664177","217.22","227.99","211.88","225.4","73718555.78"
"2019-07-22 17:07:00","213.297585","212.21","219.1","208.55","217.22","69993297.42"
"2019-07-23 17:07:00","208.926567","216.66","218.14","201.32","212.21","96519402.36"
"2019-07-24 17:07:00","221.255563","219.41","225.58","215.73","216.66","64183254.14"
"2019-07-25 17:07:00","216.931108","219.23","220.88","212.99","219.41","46712261.33"
"2019-07-26 17:07:00","211.281365","207.17","223.83","202.84","219.23","78126135.79"
"2019-07-27 17:07:00","206.274982","211.15","213.27","197.96","207.17","47846437.2"
"2019-07-28 17:07:00","210.541163","210.83","215.03","206.43","211.15","45830094.98"
"2019-07-29 17:07:00","209.802967","209.82","214.39","204.58","210.83","34387958.79"
"2019-07-30 17:07:00","215.038941","218.7","218.98","209.73","209.82","45601288.97"
"2019-07-31 17:07:00","214.778547","217.51","219.28","211.04","218.7","40239508.23"
"2019-08-01 17:08:00","218.593438","217.7","222.66","214.99","217.51","45725495.69"
"2019-08-02 17:08:00","221.759501","222.02","224.6","216.25","217.7","40674495.72"
"2019-08-03 17:08:00","220.524372","222.7","223.65","217.5","222.02","25241603.35"
"2019-08-04 17:08:00","231.311141","233.19","236.66","222.7","222.7","89350182.76"
"2019-08-05 17:08:00","230.23794","225.94","239.54","222.67","233.19","87568875.48"
"2019-08-06 17:08:00","225.663821","225.99","231.1","220.8","225.94","56477444.19"
"2019-08-07 17:08:00","221.515263","221.18","226.62","215.18","225.99","71719199.11"
"2019-08-08 17:08:00","213.086431","210.47","221.57","207.03","221.18","60745552.66"
"2019-08-09 17:08:00","206.865155","206.26","214.66","200.92","210.47","43695144.13"
"2019-08-10 17:08:00","212.346473","216.39","216.67","205.95","206.26","43633101.97"
"2019-08-11 17:08:00","212.702088","211.28","216.66","209.88","216.39","34348705.05"
"2019-08-12 17:08:00","207.844274","208.62","211.35","203.38","211.28","48703109.59"
"2019-08-13 17:08:00","194.670656","186.49","209.25","182.82","208.62","88474941.86"
"2019-08-14 17:08:00","183.16186","188.24","189.82","173.67","186.49","91912998.77"
"2019-08-15 17:08:00","183.735027","185.41","188.24","178.62","188.24","48178947.23"
"2019-08-16 17:08:00","184.587011","185.69","186.98","182.12","185.41","21707530.3"
"2019-08-17 17:08:00","192.229631","194.77","198.11","183.49","185.69","36135946.97"
"2019-08-18 17:08:00","199.367523","202.43","203.57","193.13","194.77","50663464.37"
"2019-08-19 17:08:00","197.907239","196.55","202.94","194.89","202.43","34717145.09"
"2019-08-20 17:08:00","187.3603","187.32","197.15","180.3","196.55","59587511.56"
"2019-08-21 17:08:00","189.436329","190.74","195.09","182.87","187.32","47325783.06"
"2019-08-22 17:08:00","192.911411","194.64","196.59","188.72","190.74","45062633.6"
"2019-08-23 17:08:00","189.932523","191.08","194.66","186.45","194.64","27303728.98"
"2019-08-24 17:08:00","187.490324","186.58","192.84","183.16","191.08","27576744.26"
"2019-08-25 17:08:00","189.870024","188.46","194.2","185.89","186.58","42356290.49"
"2019-08-26 17:08:00","186.767668","187.17","189.05","184.74","188.46","24444251.34"
"2019-08-27 17:08:00","176.673572","173.01","188","166.36","187.17","65052446.02"
"2019-08-28 17:08:00","169.014562","168.95","173.52","164.19","173.01","49164451.48"
"2019-08-29 17:08:00","168.703956","168.52","170.47","165.95","168.95","27682066.95"
"2019-08-30 17:08:00","169.875858","172.15","174.99","166.29","168.52","22016383.42"
"2019-08-31 17:08:00","171.350302","171.42","173.88","168.24","172.15","23040224.19"
"2019-09-01 17:09:00","175.627787","178.76","181.47","170.77","171.42","36381317.1"
"2019-09-02 17:09:00","179.319924","179.13","182.93","174.83","178.76","47159868.72"
"2019-09-03 17:09:00","177.142069","175.01","180.46","174.06","179.13","34201012.33"
"2019-09-04 17:09:00","172.926585","174.38","175.86","170.07","175.01","34979584.4"
"2019-09-05 17:09:00","172.642346","169.47","178.38","165.67","174.38","43110865.41"
"2019-09-06 17:09:00","175.735238","178.32","181.09","168.7","169.47","34772796.5"
"2019-09-07 17:09:00","181.317598","181.67","184.53","177.03","178.32","42008466.22"
"2019-09-08 17:09:00","180.748352","180.84","185.82","176.42","181.67","43825792.71"
"2019-09-09 17:09:00","180.380802","180.01","184.46","176.96","180.84","30529342.46"
"2019-09-10 17:09:00","177.997246","178.48","182.31","174.55","180.01","36678840.44"
"2019-09-11 17:09:00","179.531612","181.19","182.8","176.78","178.48","19389810.86"
"2019-09-12 17:09:00","179.913839","181.56","181.92","177.9","181.19","24582255.71"
"2019-09-13 17:09:00","185.118164","188.9","189.35","180.53","181.56","37570118.29"
"2019-09-14 17:09:00","188.929437","189.48","191.09","186.52","188.9","31192376.58"
"2019-09-15 17:09:00","194.156334","197.85","199.78","188.67","189.48","75803345.03"
"2019-09-16 17:09:00","204.477627","207.9","215.16","196.33","197.85","105704130.68"
"2019-09-17 17:09:00","213.112129","210.5","217.5","207.9","207.9","80569851.47"
"2019-09-18 17:09:00","213.031007","221.01","223.83","202.39","210.5","119670121.15"
"2019-09-19 17:09:00","217.290889","218.26","222.21","212.49","221.01","62650447.79"
"2019-09-20 17:09:00","217.010273","215.1","221.46","213.7","218.26","45600099.48"
"2019-09-21 17:09:00","210.287986","211.23","215.56","206.32","215.1","49783119.38"
"2019-09-22 17:09:00","205.763415","200.97","211.83","198.69","211.23","64237144.85"
"2019-09-23 17:09:00","177.323758","166.47","202.71","155.91","200.97","198165231.48"
"2019-09-24 17:09:00","168.453483","170.22","175.21","162.64","166.47","84971346.1"
"2019-09-25 17:09:00","163.478408","166.06","171.12","152.85","170.22","85359448.28"
"2019-09-26 17:09:00","168.019044","174.39","177.28","161.51","166.06","58376708.03"
"2019-09-27 17:09:00","173.469208","174.14","175.98","168.86","174.39","38458780.93"
"2019-09-28 17:09:00","169.061152","169.68","175.06","164.81","174.14","38614654.22"
"2019-09-29 17:09:00","173.566971","181.47","181.68","165.55","169.68","72148268.1"
"2019-09-30 17:09:00","180.018412","176.39","186.03","174.07","181.47","64731985.62"
"2019-10-01 17:10:00","177.580497","181.06","181.78","174.37","176.39","35480450.17"
"2019-10-02 17:10:00","175.02869","175.17","181.41","170.12","181.06","40818629.93"
"2019-10-03 17:10:00","175.753157","176.21","179.67","171.25","175.17","29542284.86"
"2019-10-04 17:10:00","175.21478","176.9","177.25","172.6","176.21","21468087.6"
"2019-10-05 17:10:00","172.270902","170.26","177.37","168.35","176.9","37561435.77"
"2019-10-06 17:10:00","177.03185","180.49","182.86","168.97","170.26","51997920.63"
"2019-10-07 17:10:00","181.334357","181.09","185.37","177.78","180.49","36264697.13"
"2019-10-08 17:10:00","189.086472","193.43","195.9","179.51","181.09","82155041.05"
"2019-10-09 17:10:00","191.5413","191.73","194.84","187.69","193.43","39192518.09"
"2019-10-10 17:10:00","186.642034","180.94","197.43","179.76","191.73","74644230.15"
"2019-10-11 17:10:00","181.740683","180.09","184.94","177.98","180.94","28954591.24"
"2019-10-12 17:10:00","182.237042","181.37","184.92","179.12","180.09","23348645.31"
"2019-10-13 17:10:00","184.602053","186.96","187.78","180.9","181.37","36602758.39"
"2019-10-14 17:10:00","181.967045","180.74","188.52","177.5","186.96","56302568.95"
